nct_id,brief_title,overall_status,completion_date,study_first_post_date,phase,has_results,enrollment_count,enrollment_type,lead_sponsor_name,lead_sponsor_class,pmid_count_any,pmids_any,pmid_count_results,pmids_results,publication_linkage_rule,has_any_pmid,has_pmid,is_unlinked_any_pmid,is_unpublished_with_results,is_ghost_protocol,weight_n,weight_n_imputation,results_effect,results_se,results_effect_type
NCT01869569,Effect of Pregabalin in Patients With Radiotherapy-related Neuropathic Pain,COMPLETED,2017-01,2013-06-05,PHASE2,False,137,ACTUAL,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,OTHER,1,30457920,0,,results_pmid_strict,True,False,True,False,False,137,none,,,
NCT02607254,Efficacy and Safety of Pregabalin in Treatment of Neuropathic Pain in Patients With Idiopathic Small Fiber Neuropathy,COMPLETED,2018-07,2015-11-18,PHASE2,True,11,ACTUAL,Johns Hopkins University,OTHER,0,,0,,results_pmid_strict,False,False,False,True,False,11,none,0.10274580785086934,0.8173042605392025,smd_hedges_g
NCT01455428,Pregabalin for Treatment of Patients With Postherpetic Neuralgia (PHN),COMPLETED,2014-01,2011-10-20,PHASE4,True,223,ACTUAL,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,INDUSTRY,0,,0,,results_pmid_strict,False,False,False,True,False,223,none,-0.055419085845272345,0.5936639030574364,log_or_2x2
NCT01450163,"Evaluate The Efficacy and Safety Of Pregabalin In Prevention, Reduction of Oxaliplatin-Induced Painful Neuropathy",COMPLETED,2014-12,2011-10-12,PHASE3,False,200,ACTUAL,University of Sao Paulo,OTHER,1,28652279,0,,results_pmid_strict,True,False,True,False,False,200,none,,,
NCT02240199,Perioperative Pregabalin and Lidocaine to Reduce Chronic Breast Cancer Pain,COMPLETED,2016-01,2014-09-15,PHASE3,False,100,ACTUAL,McMaster University,OTHER,1,30844507,0,,results_pmid_strict,True,False,True,False,False,100,none,,,
NCT01688947,Analgesic Efficacy and Safety of V116517 in Subjects With Moderate to Severe Chronic Pain Due to Postherpetic Neuralgia (PHN),COMPLETED,2014-04,2012-09-20,PHASE2,False,105,ACTUAL,Purdue Pharma LP,INDUSTRY,0,,0,,results_pmid_strict,False,False,False,False,True,105,none,,,
NCT03928093,Pregabalin Treatment for RDEB Pain and Itch,COMPLETED,2024-02-01,2019-04-25,PHASE3,False,1,ACTUAL,The Hospital for Sick Children,OTHER,1,39441591,0,,results_pmid_strict,True,False,True,False,False,1,none,,,
NCT00313820,Efficacy Of Pregabalin In Subjects With Post-Stroke Central Neuropathic Pain,COMPLETED,2008-09,2006-04-12,PHASE4,True,220,ACTUAL,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,INDUSTRY,0,,0,,results_pmid_strict,False,False,False,True,False,220,none,-0.2,0.28055571622406245,mean_difference_(final_values)
NCT01270828,Safety And Efficacy Study Of Once Daily Controlled Release Pregabalin In The Treatment Of Patients With Postherpetic Neuralgia,COMPLETED,2014-11,2011-01-05,PHASE3,True,806,ACTUAL,Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,INDUSTRY,1,27753650,0,,results_pmid_strict,True,False,True,True,False,806,none,-1.007397644644553,0.2509673687824838,log_or_2x2
NCT00870454,An Efficacy and Safety Study of Carisbamate in the Treatment of Nerve Pain in Diabetics,COMPLETED,2010-12,2009-03-27,PHASE2,False,386,ACTUAL,"SK Life Science, Inc.",INDUSTRY,0,,0,,results_pmid_strict,False,False,False,False,True,386,none,,,
NCT00643760,A Study In Patients With Neuropathic Pain From Diabetic Peripheral Neuropathy (DPN),COMPLETED,2009-02,2008-03-26,PHASE2,True,421,ACTUAL,"XenoPort, Inc.",INDUSTRY,1,23186035,0,,results_pmid_strict,True,False,True,True,False,421,none,-0.35,0.33921736598000274,adjusted_mean_difference_versus_placebo
NCT02417935,A Study of Duloxetine (LY248686) in Participants With Diabetic Peripheral Neuropathic Pain (DPNP),COMPLETED,2017-05-13,2015-04-16,PHASE4,True,304,ACTUAL,Eli Lilly and Company,INDUSTRY,1,30271191,0,,results_pmid_strict,True,False,True,True,False,304,none,0.072,0.18720717791678346,mean_difference_(final_values)
NCT03221907,Clinical Trial to Evaluate the Efficacy and Safety of 'GLA5PR GLARS-NF1 Tab.' in Peripheral Neuropathic Pain,COMPLETED,2019-01-08,2017-07-19,PHASE3,False,352,ACTUAL,"Daewon Pharmaceutical Co., Ltd.",INDUSTRY,1,33272643,0,,results_pmid_strict,True,False,True,False,False,352,none,,,
NCT00755573,Pain and Chronic Pancreatitis - Clinical End Experimental Studies,COMPLETED,2010-05,2008-09-19,PHASE2|PHASE3,False,64,ACTUAL,Aalborg University Hospital,OTHER,2,22879908;21848870,0,,results_pmid_strict,True,False,True,False,False,64,none,,,
NCT03809702,Efficacy of Pregabalin for the Treatment of Acute Herpetic Neuralgia,COMPLETED,2019-12-30,2019-01-18,PHASE4,False,82,ACTUAL,B.P. Koirala Institute of Health Sciences,OTHER,0,,0,,results_pmid_strict,False,False,False,False,True,82,none,,,
